Code,Prev,Trend,Pred,Close
1417,1057,1,1068,1057
1605,1113,1,1118,1113
1719,736,1,738,736
1721,1438,1,1460,1438
1722,795,1,816,795
1801,766,1,769,766
1802,988,1,990,988
1808,1323,0,1328,1323
1812,635,1,639,635
1878,12320,1,12362,12320
1881,2077,1,2076,2077
1911,1373,1,1380,1373
1925,2959,1,3017,2959
1928,1822,1,1833,1822
1951,1193,1,1201,1193
1952,984,1,986,984
1963,1696,1,1722,1696
1983,1246,0,1254,1246
2002,1604,1,1618,1604
2121,4155,1,4150,4155
2131,1173,0,1174,1173
2181,4945,1,4959,4945
2229,3960,1,4019,3960
2267,6010,1,6049,6010
2269,16980,1,17039,16980
2282,2470,0,2494,2470
2294,1854,0,1837,1854
2317,1179,1,1188,1179
2327,4905,1,4909,4905
2331,5220,1,5249,5220
2359,802,1,806,802
2371,1854,1,1816,1854
2395,406,0,411,406
2412,2095,1,2132,2095
2413,2425,1,2420,2425
2432,2305,1,2308,2305
2433,1156,0,1167,1156
2502,3807,1,3849,3807
2503,1614,1,1633,1614
2593,2414,1,2452,2414
2651,8310,0,8439,8310
2670,6760,1,6814,6760
2674,1389,0,1393,1389
2681,1934,1,1933,1934
2695,3710,0,3744,3710
2702,2634,1,2634,2634
2726,3490,0,3502,3490
2768,240,1,241,240
2780,2820,1,2836,2820
2782,5370,0,5335,5370
2784,2112,1,2122,2112
2801,3400,1,3437,3400
2802,2424,1,2458,2424
2809,2308,1,2336,2308
2871,705,1,707,705
2875,4300,1,4379,4300
2897,5240,1,5304,5240
2914,4009,1,4090,4009
2915,1580,1,1564,1580
3003,1025,1,1031,1025
3048,1036,1,1037,1036
3064,5400,1,5399,5400
3086,1807,1,1831,1807
3088,5090,1,5114,5090
3092,3615,1,3560,3615
3099,1788,1,1809,1788
3116,2048,1,2054,2048
3141,5340,1,5464,5340
3197,1557,1,1570,1557
3231,2297,1,2267,2297
3289,793,1,799,793
3291,1862,1,1875,1862
3349,13960,1,14079,13960
3360,2568,1,2575,2568
3382,5158,1,5111,5158
3391,9570,0,9570,9570
3402,1019,1,1035,1019
3405,1455,1,1465,1455
3407,903,1,912,903
3436,1191,1,1218,1191
3512,496,1,496,496
3606,139,1,139,139
3626,2736,1,2772,2736
3632,559,0,565,559
3636,2984,1,3014,2984
3639,1500,1,1502,1500
3641,3160,1,3199,3160
3656,1301,1,1314,1301
3659,1615,1,1642,1615
3664,519,1,519,519
3668,2061,1,2075,2061
3738,1793,1,1827,1793
3742,1069,0,1075,1069
3765,375,1,374,375
3774,2163,1,2199,2163
3788,729,1,726,729
3793,708,1,709,708
3799,561,1,575,561
3817,2105,1,2096,2105
3861,556,1,564,556
3903,1400,1,1369,1400
3905,519,0,517,519
3907,3820,0,3847,3820
3911,1313,1,1310,1313
4004,136,1,137,136
4021,2741,1,2764,2741
4042,596,1,603,596
4061,490,1,495,490
4063,6387,1,6488,6387
4088,1749,0,1765,1749
4091,1188,1,1205,1188
4114,1692,1,1716,1692
4116,546,0,548,546
4151,1811,0,1829,1811
4185,1754,0,1771,1754
